"Name","Version","License"
"Authlib","1.0.1","BSD License"
"certifi","2023.5.7","Mozilla Public License 2.0 (MPL 2.0)"
"cffi","1.15.1","MIT License"
"charset-normalizer","3.1.0","MIT License"
"cryptography","40.0.2","Apache Software License; BSD License"
"idna","3.4","BSD License"
"pycparser","2.21","BSD License"
"python-dateutil","2.8.2","Apache Software License; BSD License"
"requests","2.29.0","Apache Software License"
"seldon-deploy-sdk","2.1.0","UNKNOWN"
"six","1.16.0","MIT License"
"urllib3","1.26.16","MIT License"
